127.0.0.1 - - [27/Dec/2023:10:31:27 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:29 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:29 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:41 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:41 +0530] "GET /CRUD_Student/Signin.jsp HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:47 +0530] "POST /CRUD_Student/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:47 +0530] "GET /CRUD_Student/index.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:49 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:51 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:52 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:54 +0530] "GET /CRUD_Student/Register.jsp?id=26 HTTP/1.1" 200 2291
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:31:59 +0530] "POST /CRUD_Student/Edit?id=26 HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:32:09 +0530] "POST /CRUD_Student/Edit?id=26 HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:32:13 +0530] "GET /CRUD_Student/Register.jsp?id=26 HTTP/1.1" 200 2282
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:32:16 +0530] "POST /CRUD_Student/Edit?id=26 HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:32:18 +0530] "GET /CRUD_Student/Register.jsp?id=26 HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:32:24 +0530] "POST /CRUD_Student/Edit?id=26 HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:32:27 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:32:30 +0530] "POST /CRUD_Student/Register HTTP/1.1" 500 1083
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:36:58 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:37:21 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:37:29 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:38:10 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:39:34 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:40:13 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:40:21 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:41:00 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:41:00 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:41:01 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:41:46 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:41:46 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:02:23 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:02:23 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:04:12 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:04:12 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:04:49 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:04:49 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:04:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:00 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:00 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:01 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:02 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:02 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:02 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:02 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:02 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:02 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:06 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:06 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:46 +0530] "GET /CRUD_Student/Register HTTP/1.1" 500 1079
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:46 +0530] "POST /CRUD_Student/Register.jsp HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:46 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:05:54 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:31 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:31 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:31 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:31 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:34 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:34 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:35 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:35 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:36 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:47 +0530] "POST /CRUD_Student/Register HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:06:50 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:26 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:26 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:26 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:26 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:29 +0530] "GET /CRUD_Student/Register.jsp?id=26 HTTP/1.1" 200 2656
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:29 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 200 2055
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:37 +0530] "POST /CRUD_Student/Edit?id=26 HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:39 +0530] "GET /CRUD_Student/Register.jsp?id=26 HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:39 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:56 +0530] "POST /CRUD_Student/Edit?id=26 HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:59 +0530] "GET /CRUD_Student/Delete?id=26 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:10:59 +0530] "GET /CRUD_Student/index.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:11:01 +0530] "GET /CRUD_Student/GetStudentData HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:11:02 +0530] "GET /CRUD_Student/Register.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:11:02 +0530] "GET /CRUD_Student/FormValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:11:09 +0530] "POST /CRUD_Student/Register HTTP/1.1" 200 1206
